DTE,MB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RINFLL,PM2.5
2017/1/2111:00,15,102,124,1.7,0,13
2017/1/2112:00,15,48,111,1,0,14
2017/1/2113:00,16,102,299,1.3,0,17
2017/1/2114:00,16,336,46,1.5,0,16
2017/1/2115:00,16,172,172,1.4,0,14
2017/1/2116:00,16,208,117,1,0,13
2017/1/2117:00,16,126,126,1.6,0,17
2017/1/2118:00,15,152,163,1.3,0,19
2017/1/2119:00,15,117,107,1.6,0,22
2017/1/2120:00,15,90,123,0.9,0,20
2017/1/2121:00,15,48,331,0.8,0,17
2017/1/2122:00,14,293,321,1.2,0,8
2017/1/2123:00,13,313,321,1.2,0,8
2017/1/2200:00,14,310,18,0.7,0,13
2017/1/2201:00,14,307,39,1.6,0,13
2017/1/2202:00,15,5,12,2.1,0,13
2017/1/2203:00,15,30,316,0.8,0,9
2017/1/2204:00,15,21,208,1.7,0,8
2017/1/2205:00,15,246,276,0.9,0,11
2017/1/2206:00,14,223,290,0.7,0,11
2017/1/2207:00,14,124,114,2.5,0,19
2017/1/2208:00,15,114,119,2.7,0,16
2017/1/2209:00,16,110,107,3.2,0,19
2017/1/2210:00,17,107,119,3.3,0,18
2017/1/2211:00,17,109,91,2.4,0,17
2017/1/2212:00,17,68,65,2.9,0,18
2017/1/2213:00,17,68,115,2.6,0,13
2017/1/2214:00,16,106,108,3,0,16
2017/1/2215:00,15,111,121,3.1,0,21
2017/1/2216:00,14,108,114,2.4,0,34
2017/1/2217:00,14,105,107,3.1,0,36
2017/1/2218:00,14,110,113,2.9,0,32
2017/1/2219:00,14,112,113,3.7,0,28
2017/1/2220:00,14,109,111,3,0,27
2017/1/2221:00,14,105,106,3.4,0,28
2017/1/2222:00,14,109,115,3.6,0,23
2017/1/2223:00,14,114,115,3.4,0,23
2017/1/2300:00,14,114,115,3.4,0,19
2017/1/2301:00,14,114,120,3.9,0,21
2017/1/2302:00,15,114,114,3.8,0,20
2017/1/2303:00,15,116,116,3.7,0,16
2017/1/2304:00,15,115,115,2.9,0,13
2017/1/2305:00,15,119,116,3.9,0,8
2017/1/2306:00,15,118,116,3.7,0,15
2017/1/2307:00,15,114,117,3,0,15
2017/1/2308:00,15,116,123,3.5,0,18
2017/1/2309:00,15,111,110,4.4,0,16
2017/1/2310:00,16,112,114,3.9,0,21
2017/1/2311:00,16,111,114,3.5,0,24
2017/1/2312:00,16,112,119,3.9,0,24
2017/1/2313:00,15,115,112,3.8,0,25
2017/1/2314:00,15,106,111,4.1,0,19
2017/1/2315:00,15,113,113,3.9,0,22
2017/1/2316:00,15,113,117,3.8,0,21
2017/1/2317:00,15,118,116,4,0,27
2017/1/2318:00,15,114,114,3.3,0,26
2017/1/2319:00,15,113,112,3.7,0,27
2017/1/2320:00,15,120,125,4.2,0,21
2017/1/2321:00,15,120,116,3.6,0,19
2017/1/2322:00,15,119,124,4.6,0,12
2017/1/2323:00,15,119,118,3.9,0,13
2017/1/2400:00,15,120,118,3.4,0,12
2017/1/2401:00,15,116,116,2.6,0,16
2017/1/2402:00,15,113,106,3.4,0,16
2017/1/2403:00,15,118,119,3.7,0,12
2017/1/2404:00,15,120,116,2.9,0,6
2017/1/2405:00,15,123,129,3.1,0,8
2017/1/2406:00,15,130,124,3.6,0,8
2017/1/2407:00,15,124,129,3.3,0,10
2017/1/2408:00,15,117,110,2.7,0,11
2017/1/2409:00,16,112,117,4.9,0,10
2017/1/2410:00,16,116,107,3.2,0,-3
2017/1/2411:00,17,112,115,3.8,0,1
2017/1/2412:00,17,114,112,4.3,0,2
2017/1/2413:00,16,117,115,3,0,1
2017/1/2414:00,16,111,116,3.5,0,4
2017/1/2415:00,16,107,130,2.3,0,2
2017/1/2416:00,15,96,104,2.3,0,5
2017/1/2417:00,15,111,117,3.4,0,5
2017/1/2418:00,15,118,124,2.8,0,4
2017/1/2419:00,15,113,110,2.8,0,11
2017/1/2420:00,15,118,121,1.9,0,14
2017/1/2421:00,15,117,111,2.4,0,18
2017/1/2422:00,15,117,116,2.4,0,6
2017/1/2423:00,15,113,114,2.5,0,3
2017/1/2500:00,15,113,121,2.7,0,1
2017/1/2501:00,15,127,127,2.9,0,3
2017/1/2502:00,15,121,120,2.5,0,4
2017/1/2503:00,15,118,117,2.7,0,6
2017/1/2504:00,15,124,128,3.2,0,6
2017/1/2505:00,16,126,129,2.4,0,6
2017/1/2506:00,16,130,125,2.3,0,1
2017/1/2507:00,16,116,108,2.7,0,8
2017/1/2508:00,16,114,130,1.8,0,13
2017/1/2509:00,17,92,54,2.6,0,13
2017/1/2510:00,17,96,106,2.2,0,1
2017/1/2511:00,17,77,85,2.5,0,1
2017/1/2512:00,17,88,96,2.6,0,6
2017/1/2513:00,17,109,115,3.1,0,6
2017/1/2514:00,17,70,83,2.7,0,8
2017/1/2515:00,17,98,115,1.8,0,6
2017/1/2516:00,16,79,100,1.6,0,5
2017/1/2517:00,16,101,101,1.7,0,6
2017/1/2518:00,16,109,147,1.7,0,11
2017/1/2519:00,16,116,71,1.4,0,10
2017/1/2520:00,16,92,166,1.4,0,13
2017/1/2521:00,15,202,171,1.4,0,10
2017/1/2522:00,15,102,68,1.4,0,12
2017/1/2523:00,15,309,219,0.9,0,14
2017/1/2600:00,15,18,167,1,0,10
2017/1/2601:00,15,117,107,2.3,0,15
2017/1/2602:00,15,55,28,1.6,0,12
2017/1/2603:00,15,211,341,0.7,0,18
2017/1/2604:00,15,114,86,1.4,0,14
2017/1/2605:00,16,119,113,2.9,0,18
2017/1/2606:00,15,109,130,1.7,0,13
2017/1/2607:00,15,93,95,2.6,0,18
2017/1/2608:00,16,99,90,2,0,15
2017/1/2609:00,17,119,118,4.8,0,13
2017/1/2610:00,17,105,100,2.3,0,11
2017/1/2611:00,17,117,103,2.3,0,7
2017/1/2612:00,18,114,116,4.9,0,13
2017/1/2613:00,18,111,114,3.5,0,12
2017/1/2614:00,19,113,109,3.6,0,15
2017/1/2615:00,18,108,115,4.5,0,16
